iter	MAE	RMSE
113	6.571485404	8.385906739
114	6.553486602	8.364114882
115	6.536980911	8.343648655
116	6.52025479	8.32347465
117	6.5032578	8.30350443
118	6.487756497	8.284886012
119	6.471940429	8.265587095
120	6.456179571	8.246873485
121	6.441818277	8.229017267
122	6.427700007	8.211086786
123	6.414066486	8.194250107
124	6.399969763	8.177326629
125	6.386214672	8.160009482
126	6.372731192	8.143054044
127	6.359536039	8.12693763
128	6.346861477	8.110917833
129	6.334289958	8.095250184
130	6.321511143	8.07967622
131	6.309008741	8.064396201
132	6.296587844	8.048831035
133	6.284016439	8.034149513
134	6.272359267	8.019528481
135	6.260293539	8.005458026
136	6.248555212	7.991786783
137	6.237150269	7.977606217
138	6.226636719	7.96479963
139	6.214937039	7.950530454
140	6.203835194	7.937678227
141	6.192628506	7.924293327
142	6.182751943	7.911898111
143	6.171807342	7.898504518
144	6.162471391	7.887045754
145	6.150628909	7.872161571
146	6.138277566	7.857523364
147	6.126333121	7.842922924
148	6.115474087	7.829696252
149	6.103805867	7.815533487
150	6.093233601	7.802191508
151	6.082019965	7.788719514
152	6.07211182	7.776590708
153	6.061294022	7.763573205
154	6.050716519	7.750883343
155	6.041448839	7.739768492
156	6.032059275	7.728022829
157	6.023021647	7.717093906
158	6.013546067	7.70532257
159	6.004675936	7.694768304
160	5.996052287	7.68460239
161	5.987606062	7.674779669
162	5.978613743	7.663987071
163	5.970541984	7.654222065
164	5.961172756	7.643188814
165	5.952462589	7.633328664
166	5.944787606	7.624047665
167	5.93739152	7.61510745
168	5.929471792	7.605490276
169	5.921470419	7.596354726
170	5.91496016	7.588467341
171	5.907272419	7.579406277
172	5.900846079	7.571504166
173	5.893977824	7.563106259
174	5.887648811	7.555207008
175	5.880407313	7.546713508
176	5.874387927	7.539374467
177	5.867421976	7.53120418
178	5.861662244	7.52417424
179	5.855595735	7.516814388
180	5.850085318	7.51007043
181	5.844573537	7.503150724
182	5.83733342	7.494761376
183	5.83101046	7.487636151
184	5.825825191	7.481118564
185	5.820028271	7.474106884
186	5.815089883	7.467922585
187	5.8092171	7.461117433
188	5.804473917	7.455176743
189	5.799168916	7.448953556
190	5.793356694	7.442632106
191	5.788606857	7.437023239
192	5.783859117	7.431471602
193	5.777784951	7.424569614
194	5.773345547	7.419100826
195	5.767951525	7.41317434
196	5.763307138	7.407705689
197	5.758619257	7.402213771
198	5.754510657	7.397180512
199	5.749756981	7.391742315
200	5.745278409	7.386563498
201	5.740508597	7.381183153
202	5.735353676	7.375623859
203	5.731149009	7.370533546
204	5.726863524	7.365306313
205	5.722932699	7.360833902
206	5.718561332	7.355685607
207	5.714308379	7.350796002
208	5.710032709	7.345893392
209	5.706123341	7.341142131
210	5.701999177	7.336504326
211	5.69759481	7.33177344
212	5.693621202	7.327231366
213	5.690605772	7.323336046
214	5.685786065	7.317647755
215	5.682483734	7.313519291
216	5.677803845	7.307911084
217	5.673089936	7.302377375
218	5.668528866	7.297465461
219	5.663996567	7.292147192
220	5.660025063	7.287923777
221	5.656057834	7.28334027
222	5.652971735	7.27951808
223	5.6483775	7.27477734
224	5.64534172	7.271040462
225	5.642523745	7.267567847
226	5.638315299	7.262602446
227	5.634050058	7.257428229
228	5.631103691	7.253787256
229	5.626702169	7.248764689
230	5.623863829	7.24529452
231	5.620261875	7.241162855
232	5.616161063	7.236996865
233	5.611010894	7.231747424
234	5.606922816	7.227570772
235	5.602812229	7.222972017
236	5.597860281	7.218041866
237	5.59386967	7.213482302
238	5.590013174	7.209246048
239	5.587130284	7.205730457
240	5.583052581	7.201629795
241	5.579625994	7.197785677
242	5.575706778	7.193825016
243	5.573076267	7.190531817
244	5.568524125	7.185872694
245	5.566020372	7.182830426
246	5.562492473	7.179181475
247	5.559354834	7.175743223
248	5.555716814	7.172090778
249	5.552343261	7.168236499
250	5.548749392	7.164403322
251	5.545224404	7.160672517
252	5.542813484	7.157863127
253	5.539994805	7.154890705
254	5.537070231	7.151697309
255	5.534636145	7.148951839
256	5.531139643	7.145363905
257	5.527845254	7.14194905
258	5.525694221	7.139298214
259	5.522427209	7.135869302
260	5.519077092	7.13256057
261	5.516442261	7.129137934
262	5.513131353	7.125556356
263	5.51092296	7.12276414
264	5.507870459	7.119365276
265	5.504438729	7.115641049
266	5.501450836	7.112327805
267	5.498174193	7.108767971
268	5.494998577	7.105365686
269	5.492091092	7.102143092
270	5.488809365	7.098586745
271	5.486282815	7.09593329
272	5.483942399	7.093347715
273	5.481751847	7.090786896
274	5.478605237	7.087366999
275	5.475824983	7.084361798
276	5.473375196	7.081828903
277	5.471295178	7.079090399
278	5.468697652	7.076084787
279	5.465633112	7.072791559
280	5.463251369	7.070167622
281	5.461047416	7.067689016
282	5.458709412	7.065038901
283	5.455838481	7.062088253
284	5.453776349	7.059493395
285	5.451303431	7.056863311
286	5.448869964	7.05426828
287	5.446733299	7.051629266
288	5.444261844	7.048831151
289	5.442293482	7.046612466
290	5.440407831	7.044181127
291	5.437617039	7.041337261
292	5.435449721	7.038942599
293	5.433373167	7.036611582
294	5.430855618	7.033957956
295	5.428957494	7.031607924
296	5.426255744	7.028856462
297	5.42434134	7.026715725
298	5.42157299	7.023927619
299	5.419545718	7.021703169
300	5.417152988	7.019182156
301	5.415225493	7.016944551
302	5.41272716	7.014298897
303	5.410771967	7.012127471
304	5.408191849	7.009489055
305	5.406193214	7.00695716
306	5.404648859	7.005036158
307	5.40275627	7.002866643
308	5.400869925	7.000778404
309	5.398712208	6.998514853
310	5.396909163	6.996410983
311	5.394428638	6.993660443
312	5.392245368	6.991366592
313	5.39041329	6.989198488
314	5.388937124	6.987346034
315	5.387025204	6.985291741
316	5.385291473	6.983307009
317	5.383569735	6.981228473
318	5.381480824	6.979029846
319	5.378630712	6.97613243
320	5.375733788	6.973112629
321	5.374107911	6.971250916
322	5.372221421	6.969308957
323	5.370590818	6.967558151
324	5.368915548	6.965720114
325	5.367548467	6.964010808
326	5.364677761	6.961140406
327	5.362184032	6.958592669
328	5.359938981	6.956289702
329	5.357271567	6.953259271
330	5.354746511	6.950719361
331	5.352255623	6.948193477
332	5.350526209	6.946220373
333	5.349042869	6.94453217
334	5.347349562	6.942655249
335	5.346050339	6.941205928
336	5.343926772	6.939138107
337	5.34212591	6.937261888
338	5.339768323	6.934864354
339	5.338281708	6.933187993
340	5.336750518	6.931456618
341	5.335132715	6.929779091
342	5.332853565	6.927536803
343	5.330629625	6.925601785
344	5.328516039	6.923465274
345	5.326924075	6.921801213
346	5.324777607	6.919934325
347	5.323298136	6.918353862
348	5.320836282	6.915768393
349	5.318634143	6.913558475
350	5.317422214	6.912235059
351	5.315654446	6.91058198
352	5.314531707	6.909063544
353	5.312672139	6.907226899
354	5.310371024	6.904842565
355	5.308539681	6.902881936
356	5.306756266	6.901019315
357	5.305345164	6.899517548
358	5.303077677	6.897017279
359	5.300991889	6.895273257
360	5.299187182	6.89337036
361	5.296380315	6.89102763
362	5.295342094	6.889615572
363	5.293387534	6.887544341
364	5.291626187	6.885691438
365	5.290248443	6.884256372
366	5.287576775	6.882024939
367	5.285703044	6.880313732
368	5.284289017	6.878803677
369	5.282412043	6.876790561
370	5.280524885	6.874873177
371	5.278439964	6.872938084
372	5.277155109	6.871466547
373	5.27458092	6.869347418
374	5.273153932	6.867933965
375	5.271928549	6.866488248
376	5.270182165	6.864695728
377	5.267680412	6.862654549
378	5.265786699	6.860809564
379	5.264734453	6.859557452
380	5.26299402	6.857998252
381	5.261805618	6.856590763
382	5.259779715	6.854292434
383	5.257988235	6.85243189
384	5.256203778	6.850556415
385	5.255113805	6.849088539
386	5.25345366	6.847607478
387	5.251940562	6.845972569
388	5.250743446	6.844723393
389	5.249295538	6.843071395
390	5.248439913	6.842136299
391	5.247352999	6.840872128
392	5.246320789	6.839724522
393	5.245486534	6.838493938
394	5.244394779	6.837473299
395	5.243737362	6.836456956
396	5.242462846	6.835210763
397	5.241022748	6.833619064
398	5.239317996	6.831960941
399	5.23774391	6.830386113
400	5.236950234	6.829301933
401	5.235577407	6.827823137
402	5.234564035	6.826656982
403	5.233101539	6.82518081
404	5.230897121	6.823402233
405	5.229131165	6.821413653
406	5.22757774	6.819777321
407	5.225870348	6.81786634
408	5.22431071	6.816644168
409	5.223563675	6.815503553
410	5.222037366	6.813912785
411	5.221059771	6.812754214
412	5.219556516	6.810790371
413	5.21842937	6.809621591
414	5.216963065	6.808319664
415	5.215560597	6.806769241
416	5.214272031	6.805419924
417	5.212149791	6.803691772
418	5.210768427	6.801871543
419	5.209236433	6.800340861
420	5.208103942	6.79907713
421	5.206773912	6.797541446
422	5.205774016	6.796319717
423	5.204663253	6.795243603
424	5.203438041	6.793976973
425	5.202069897	6.792196381
426	5.201009708	6.791060342
427	5.199771638	6.789669961
428	5.198331812	6.788252308
429	5.196668895	6.786281422
430	5.19504844	6.784368473
431	5.193240742	6.782769518
432	5.191304055	6.781173065
433	5.19021491	6.780158248
434	5.188862745	6.778838104
435	5.187658129	6.777218129
436	5.186414037	6.775796584
437	5.184559448	6.774317591
438	5.183663461	6.773259806
439	5.182836029	6.772298736
440	5.181645201	6.770978863
441	5.180012093	6.769564401
442	5.178872572	6.768084046
443	5.177421575	6.766787936
444	5.176545543	6.765740528
445	5.175013944	6.76437999
446	5.173839858	6.763133354
447	5.173149193	6.7619937
448	5.171768645	6.760526184
449	5.170939666	6.759636005
450	5.170340946	6.758865161
451	5.169221672	6.75740225
452	5.168092509	6.75608313
453	5.166966393	6.755006853
454	5.16577227	6.753501304
455	5.164899661	6.752574456
456	5.163476861	6.751045404
457	5.162132644	6.749631217
458	5.160869988	6.748347872
459	5.159916521	6.747336267
460	5.158549015	6.746029772
461	5.156988529	6.74467707
462	5.155656542	6.743407318
463	5.155013528	6.742331721
464	5.153983793	6.741269051
465	5.15269587	6.740039194
466	5.151985498	6.738795813
467	5.151140585	6.737426711
468	5.150107554	6.736174339
469	5.148962702	6.734712999
470	5.148123706	6.733600315
471	5.146756686	6.732201303
472	5.145502785	6.731012794
473	5.144864457	6.730214512
474	5.144207022	6.729458072
475	5.142936971	6.728118697
476	5.141719782	6.726967888
477	5.140699448	6.725762375
478	5.139458169	6.724707346
479	5.138254919	6.72320969
480	5.136823733	6.721845407
481	5.135499619	6.720307193
482	5.134284079	6.719032659
483	5.133305032	6.717803894
484	5.132598283	6.717017699
485	5.131515185	6.71576144
486	5.130631257	6.714828805
487	5.129018553	6.712980063
488	5.127890756	6.711311351
489	5.127012894	6.710038823
490	5.126224251	6.709183428
491	5.125037437	6.707964348
492	5.1235448	6.706113312
493	5.122804546	6.704910716
494	5.12116002	6.703191518
495	5.120038062	6.701915336
496	5.11909096	6.700552366
497	5.117835516	6.698933165
498	5.116855962	6.697669558
499	5.115787474	6.696546666
500	5.114713637	6.695550769
501	5.113561377	6.694654014
502	5.112895817	6.693915933
503	5.11218408	6.692762341
504	5.110822355	6.691462479
505	5.110131155	6.690712043
506	5.108728888	6.689502971
507	5.107316983	6.687846632
508	5.106182784	6.686786149
509	5.104574275	6.685103459
510	5.103357736	6.683866967
511	5.102637833	6.682683796
512	5.10079636	6.680628502
513	5.099709221	6.67920001
514	5.098964887	6.67844226
515	5.097833311	6.677070222
516	5.096756169	6.676014169
517	5.095737859	6.674939604
518	5.095060531	6.673842669
519	5.094384191	6.672854012
520	5.093658275	6.672074526
521	5.092170267	6.670369944
522	5.090677419	6.66919332
523	5.089752121	6.668143194
524	5.088659934	6.666955046
525	5.087712807	6.665736413
526	5.086855524	6.664901812
527	5.085429274	6.663237004
528	5.08404986	6.661596944
529	5.082371689	6.659832122
530	5.081280145	6.658768797
531	5.080357725	6.657591521
532	5.079112388	6.656234568
533	5.078496559	6.655550229
534	5.077277631	6.654346584
535	5.07659286	6.653622732
536	5.075658096	6.652519436
537	5.074335732	6.650980506
538	5.073208522	6.649742892
539	5.072104203	6.648434818
540	5.070846863	6.64723074
541	5.069499823	6.645866663
542	5.068799989	6.644780746
543	5.067736033	6.643232175
544	5.066375829	6.642124285
545	5.065516848	6.641191311
546	5.064040696	6.639672439
547	5.063190454	6.638537209
548	5.062145299	6.637028185
549	5.061003369	6.635995117
550	5.059488897	6.634435026
551	5.058545505	6.633310331
552	5.057382417	6.632129791
553	5.056495513	6.631059758
554	5.055837546	6.630369276
555	5.055090399	6.629427613
556	5.053511656	6.627779074
557	5.052443429	6.626604056
558	5.051623846	6.62575062
559	5.050626562	6.624712792
560	5.049477924	6.62359023
561	5.048842365	6.622477892
562	5.047981255	6.621318415
563	5.047218284	6.62047192
564	5.046078017	6.61947517
565	5.044936502	6.618375646
566	5.043922767	6.617168103
567	5.042899968	6.616046122
568	5.04179144	6.614819934
569	5.041129465	6.614167231
570	5.040290252	6.613052582
571	5.039449808	6.611945826
572	5.038605257	6.610891773
573	5.037893648	6.609980124
574	5.036622244	6.608470791
575	5.035658248	6.607413879
576	5.034147132	6.605844119
577	5.033156075	6.604751223
578	5.032419068	6.603947074
579	5.03162521	6.603160453
580	5.030148746	6.601634682
581	5.028547826	6.599882975
582	5.027625818	6.59887656
583	5.026572412	6.597854218
584	5.025733417	6.596999189
585	5.024767287	6.596113073
586	5.024164436	6.595501586
587	5.023360069	6.594412973
588	5.022345964	6.593468801
589	5.02137209	6.592419922
590	5.020580151	6.591616812
591	5.019654188	6.590594493
592	5.018738043	6.589591463
593	5.017876653	6.588552734
594	5.016915416	6.587304965
595	5.016063515	6.586330685
596	5.015381708	6.585457502
597	5.014325244	6.584591257
598	5.013521007	6.583587233
599	5.012510206	6.582652088
600	5.011563574	6.58131567
601	5.010624072	6.580241719
602	5.009444114	6.579274477
603	5.008597877	6.578559005
604	5.007826886	6.577665198
605	5.006914818	6.576535207
606	5.005394724	6.57489663
607	5.00497121	6.574291794
608	5.003801408	6.572964969
609	5.003051606	6.572230846
610	5.001673762	6.570807293
611	5.001082478	6.570198446
612	5.000483663	6.569620639
613	4.999384489	6.568351558
614	4.998587526	6.567544847
615	4.997581776	6.566631223
616	4.996852068	6.565940472
617	4.996017826	6.565066743
618	4.994676985	6.563690723
619	4.993783485	6.562712093
620	4.992832787	6.561837592
621	4.991781886	6.560812617
622	4.991046144	6.559874741
623	4.990045534	6.558910612
624	4.989449086	6.558209199
625	4.988563798	6.556966248
626	4.987305246	6.555577768
627	4.986293201	6.554203278
628	4.985320826	6.552979365
629	4.98436642	6.551787225
630	4.982694917	6.549986157
631	4.981066365	6.548237662
632	4.979536789	6.546525618
633	4.978781674	6.545764186
634	4.977875232	6.544934109
635	4.976945119	6.543777819
636	4.975438071	6.542173065
637	4.97400842	6.540758048
638	4.972613381	6.539327748
639	4.972010037	6.538179677
640	4.970782855	6.536765737
641	4.970172117	6.536036508
642	4.968787035	6.534409158
643	4.968056021	6.533673958
644	4.966982976	6.532497559
645	4.966164457	6.531386807
646	4.965087237	6.530352189
647	4.964461754	6.529671049
648	4.963585974	6.528729342
649	4.962799053	6.527660638
650	4.961282101	6.525959324
651	4.960613686	6.525305984
652	4.959023626	6.523591011
653	4.958325514	6.522885908
654	4.956971659	6.521438895
655	4.956165365	6.520613861
656	4.955471778	6.519586985
657	4.954785292	6.5188998
658	4.953681956	6.517852235
659	4.953036985	6.516972537
660	4.952168425	6.516043493
661	4.950787293	6.514431234
662	4.949896608	6.513420056
663	4.949317105	6.512765261
664	4.948317185	6.511693379
665	4.947511451	6.510759691
666	4.946424739	6.509688405
667	4.945630639	6.508669551
668	4.945004393	6.507816899
669	4.944431743	6.507159251
670	4.94359523	6.506342489
671	4.942530188	6.505302999
672	4.941660175	6.504244053
673	4.940585116	6.503234722
674	4.939796082	6.502438991
675	4.938837107	6.501393525
676	4.938042567	6.500622903
677	4.937060174	6.499673796
678	4.936494066	6.498938653
679	4.935203382	6.497575762
680	4.934609934	6.496905634
681	4.933685734	6.495905475
682	4.932820688	6.494864409
683	4.932245991	6.494213112
684	4.931768843	6.493726834
685	4.930879626	6.492442681
686	4.930089641	6.491690433
687	4.929264968	6.490633104
688	4.928063235	6.489399671
689	4.927148777	6.48838935
690	4.926530611	6.487716145
691	4.925706923	6.486753669
692	4.924891044	6.485773084
693	4.923413794	6.484301346
694	4.922384223	6.483293047
695	4.921735344	6.482533609
696	4.920955573	6.481734886
697	4.920538508	6.481004276
698	4.919791639	6.480143543
699	4.918647883	6.478818571
700	4.917651346	6.477877589
701	4.917084597	6.47728762
702	4.916552873	6.476692626
703	4.915859557	6.47582994
704	4.915316456	6.475212996
705	4.914631965	6.474352614
706	4.91370637	6.473365272
707	4.913122709	6.472733052
708	4.912258043	6.471886922
709	4.911333635	6.470908391
710	4.910658277	6.470088968
711	4.910148899	6.469573085
712	4.909618351	6.468972801
713	4.908709791	6.468022927
714	4.907436274	6.466633003
715	4.906678316	6.465552384
716	4.906191204	6.464982746
717	4.905293096	6.464019655
718	4.904619763	6.462896258
719	4.903566636	6.461607558
720	4.9030175	6.461097845
721	4.902334224	6.460312996
722	4.901154959	6.45908887
723	4.900445993	6.458281188
724	4.899486525	6.457383763
725	4.898546689	6.456155226
726	4.897616685	6.455289236
727	4.897079625	6.454399332
728	4.896531975	6.453701666
729	4.895767947	6.452735462
730	4.895134217	6.451976191
731	4.894518912	6.4513071
732	4.893649655	6.450339066
733	4.893123898	6.449869893
734	4.892500188	6.449236606
735	4.892033982	6.448692746
736	4.891382989	6.447919312
737	4.890533128	6.44701383
738	4.88994128	6.446210793
739	4.889491233	6.445807612
740	4.888632154	6.444892386
741	4.88784318	6.4439553
742	4.887362872	6.443397686
743	4.886881733	6.442855593
744	4.886369818	6.441879499
745	4.885661502	6.441165358
746	4.884873594	6.440317908
747	4.884289733	6.439552496
748	4.883149611	6.438367994
749	4.882710325	6.43782381
750	4.882137062	6.437206485
751	4.88147739	6.436511883
752	4.880683585	6.435562168
753	4.880081687	6.434949913
754	4.879305332	6.434132992
755	4.8785024	6.433312006
756	4.87770599	6.43247829
757	4.876995705	6.431676365
758	4.876101051	6.430676435
759	4.875538827	6.430072174
760	4.874641434	6.429175636
761	4.874039021	6.428494578
762	4.873278603	6.427586434
763	4.872712592	6.426980648
764	4.87224739	6.426457813
765	4.871339826	6.425617657
766	4.870504672	6.424636893
767	4.869695956	6.423686053
768	4.868947532	6.422878372
769	4.868345142	6.422245109
770	4.867578143	6.421118563
771	4.866981938	6.420417687
772	4.866008129	6.419369877
773	4.865216814	6.418517988
774	4.864430497	6.417600121
775	4.86396524	6.417026156
776	4.863183839	6.41615265
777	4.862705214	6.415681204
778	4.862074814	6.415038611
779	4.861624696	6.414534621
780	4.861132642	6.414060326
781	4.860548169	6.413370156
782	4.860009159	6.412755915
783	4.859435512	6.41208367
784	4.85888959	6.411548026
785	4.858209431	6.410798987
786	4.857319578	6.40995332
787	4.856550427	6.409058774
788	4.855842913	6.408320001
789	4.855163937	6.407464057
790	4.85456721	6.406745699
791	4.854076451	6.406178365
792	4.853065516	6.405040685
793	4.852203943	6.403951254
794	4.85168236	6.403319556
795	4.851068772	6.402694923
796	4.850304859	6.401833393
797	4.849745362	6.40126078
798	4.849142161	6.400528592
799	4.848611991	6.399839992
800	4.847921027	6.399139711
801	4.84735763	6.398469314
802	4.84672766	6.397804567
803	4.846044275	6.396946272
804	4.845589621	6.396450652
805	4.845043375	6.395907263
806	4.844532338	6.395357903
807	4.844121551	6.394869575
808	4.843643759	6.394282125
809	4.843146606	6.393769884
810	4.842818693	6.393326595
811	4.841973543	6.392494154
812	4.841581159	6.392157242
813	4.841111761	6.391362939
814	4.840572857	6.390685349
815	4.839898091	6.390017193
816	4.83938057	6.389343047
817	4.838666587	6.388399069
818	4.837845905	6.387592472
819	4.837095752	6.386858466
820	4.836605847	6.386232075
821	4.835768395	6.385443505
822	4.835129719	6.38476045
823	4.833994445	6.383489892
824	4.833496633	6.382847949
825	4.832704391	6.382057333
826	4.831973127	6.380999731
827	4.83134603	6.380373744
828	4.830600315	6.379606609
829	4.830103356	6.378998987
830	4.829510657	6.378327814
831	4.828969423	6.377637206
832	4.82836441	6.376924025
833	4.827973207	6.376447282
834	4.82724386	6.375700747
835	4.826585583	6.374986737
836	4.825973777	6.374378335
837	4.825199035	6.373509544
838	4.82423987	6.372442432
839	4.823569776	6.371831441
840	4.822555429	6.370793921
841	4.822037137	6.370221471
842	4.821409467	6.369646652
843	4.820742897	6.369023005
844	4.820315502	6.368334861
845	4.819827376	6.367802079
846	4.81872084	6.366738927
847	4.818180487	6.366006212
848	4.817651476	6.36535521
849	4.81707983	6.364647432
850	4.816675581	6.364180096
851	4.815595627	6.363145603
852	4.814848193	6.362408901
853	4.814113309	6.361661943
854	4.813486035	6.361080954
855	4.812956487	6.360367295
856	4.812499856	6.359827308
857	4.811742168	6.359084949
858	4.811121088	6.358416441
859	4.810606784	6.357785625
860	4.810221734	6.357338923
861	4.809737203	6.356853909
862	4.809238876	6.356301554
863	4.808098602	6.355157569
864	4.807703357	6.354714214
865	4.807043678	6.353987076
866	4.80654101	6.353232133
867	4.805899562	6.352459931
868	4.805425839	6.351889836
869	4.804675627	6.351105637
870	4.804181163	6.350612035
871	4.803718441	6.350064712
872	4.803228901	6.349563407
873	4.802754081	6.348983087
874	4.801800308	6.347989849
875	4.801174701	6.347288427
876	4.800778222	6.346899279
877	4.800084501	6.346239304
878	4.799328781	6.345319579
879	4.798707615	6.344691382
880	4.798315625	6.344290412
881	4.797890299	6.343818342
882	4.797463306	6.343290021
883	4.796982337	6.342674199
884	4.796756692	6.342330583
885	4.796150161	6.341718927
886	4.795483935	6.341085591
887	4.794451124	6.340051857
888	4.793724668	6.339295159
889	4.793261435	6.33882105
890	4.792601897	6.338066323
891	4.792145377	6.337617796
892	4.791729051	6.337105187
893	4.791087738	6.336500197
894	4.790268141	6.335513328
895	4.789566608	6.334833931
896	4.78914659	6.334015576
897	4.788602505	6.333423714
898	4.788155115	6.332894184
899	4.787490185	6.332198953
900	4.786685741	6.331322446
901	4.78621346	6.330841986
902	4.785744049	6.330244131
903	4.784675697	6.3291794
904	4.784282092	6.328803327
905	4.783455781	6.327975589
906	4.782977519	6.327402876
907	4.782492984	6.326893427
908	4.781653718	6.326083873
909	4.781280255	6.325772625
910	4.780672501	6.325048351
911	4.780179117	6.32455746
912	4.779789456	6.32407285
913	4.779221174	6.32355698
914	4.778507099	6.322625055
915	4.77808919	6.322174857
916	4.777537764	6.321539059
917	4.776939392	6.320953555
918	4.7765118	6.320468796
919	4.776106074	6.32002431
920	4.775754187	6.319551775
921	4.775184256	6.318873704
922	4.774774137	6.318153151
923	4.774279928	6.317597831
924	4.773858152	6.317134461
925	4.773511429	6.316805146
926	4.772745888	6.316107328
927	4.772239832	6.315526079
928	4.771715927	6.314964111
929	4.771041082	6.314310767
930	4.770695435	6.313971237
931	4.770217318	6.313382674
932	4.769705013	6.31285574
933	4.769116069	6.312149496
934	4.768585896	6.311528625
935	4.768018836	6.310917584
936	4.767361966	6.310074472
937	4.766406173	6.309065935
938	4.766214239	6.308775092
939	4.76585141	6.308432186
940	4.765506685	6.308109955
941	4.765172722	6.30778291
942	4.764362382	6.306935323
943	4.763626762	6.306261362
944	4.762898974	6.305575511
945	4.762342464	6.304905485
946	4.761871836	6.304337941
947	4.761372917	6.303898271
948	4.760662299	6.303251447
949	4.759770369	6.302354528
950	4.759023851	6.30154234
951	4.758443931	6.301022857
952	4.757521726	6.300134808
953	4.756801424	6.299484483
954	4.756365892	6.298979602
955	4.75575078	6.29825984
956	4.7550668	6.297524077
957	4.754699495	6.297064746
958	4.754009201	6.296129475
959	4.753373665	6.295517563
960	4.752711025	6.294797751
961	4.752357588	6.294413148
962	4.751846995	6.293704554
963	4.751416963	6.293048647
964	4.750854634	6.292542283
965	4.750381254	6.291997865
966	4.74983495	6.291409074
967	4.749340242	6.290833628
968	4.748930559	6.290342446
969	4.748385587	6.289737992
970	4.747970203	6.289173205
971	4.747655537	6.288865833
972	4.746992755	6.287926758
973	4.746224731	6.287001226
974	4.745737325	6.286497721
975	4.745355754	6.28581131
976	4.744844939	6.285269688
977	4.744339351	6.284766114
978	4.743806299	6.284109572
979	4.743225255	6.283533967
980	4.742908496	6.283120975
981	4.742209146	6.282490831
982	4.741943001	6.2822012
983	4.741509198	6.281722448
984	4.740969265	6.281242649
985	4.740442512	6.280663817
986	4.739761172	6.280051369
987	4.739072722	6.27921682
988	4.738630595	6.278752678
989	4.738056588	6.27814529
990	4.737395462	6.277555035
991	4.736663515	6.276720738
992	4.736433672	6.276371881
993	4.73601735	6.275931797
994	4.735574218	6.275386084
995	4.735322548	6.275063953
996	4.734443693	6.27422069
997	4.733977744	6.273698823
