iter	RMSE
8200	4.438956468
8250	4.437692524
8300	4.436414443
8350	4.435229143
8400	4.434160173
8450	4.433010081
8500	4.431952587
8550	4.430744248
8600	4.429576917
8650	4.42859302
8700	4.427555337
8750	4.426376572
8800	4.425198695
8850	4.424148118
8900	4.422983612
8950	4.42184387
9000	4.420876349
9050	4.419852809
9100	4.418675192
9150	4.417722265
9200	4.416783511
9250	4.415733944
9300	4.414715184
9350	4.413625054
9400	4.412688878
9450	4.411744058
9500	4.410733616
9550	4.409589369
9600	4.408600716
9650	4.407635785
9700	4.406526641
9750	4.405520616
9800	4.404641637
9850	4.403683513
9900	4.402626768
9950	4.401615412
10000	4.400621954
10050	4.399728141
10100	4.398689203
10150	4.397683183
10200	4.396782057
10250	4.39575537
10300	4.394795419
10350	4.393831446
10400	4.392857721
10450	4.391963156
10500	4.391076584
10550	4.390107571
10600	4.389299541
10650	4.388554093
10700	4.387681382
10750	4.386773854
10800	4.385910863
10850	4.385109347
10900	4.384209744
10950	4.383276741
11000	4.382467044
11050	4.381543891
11100	4.380742316
11150	4.37987313
11200	4.379010707
11250	4.378139844
11300	4.37730174
11350	4.376374829
11400	4.375519304
11450	4.374675083
11500	4.373936894
11550	4.373089095
11600	4.372261768
11650	4.371449517
11700	4.370634403
11750	4.369879711
11800	4.369108338
11850	4.368290403
11900	4.367532231
11950	4.366677788
12000	4.365786377
12050	4.3650738
12100	4.364247684
12150	4.3633911
12200	4.362541242
12250	4.361690804
12300	4.360774636
12350	4.359953901
12400	4.35920531
12450	4.358465231
12500	4.357706927
12550	4.356865412
12600	4.356204171
12650	4.355355348
12700	4.354575374
12750	4.35384509
12800	4.353043707
12850	4.352354461
12900	4.351537193
12950	4.350742601
13000	4.350075809
13050	4.349358675
13100	4.348537716
13150	4.347849635
13200	4.347068546
13250	4.346347145
13300	4.345611378
13350	4.344891902
13400	4.344153234
13450	4.343493534
13500	4.34267647
13550	4.341952052
13600	4.341221366
13650	4.340556551
13700	4.339857401
13750	4.339096146
13800	4.338363261
13850	4.337689431
13900	4.33702962
13950	4.336379101
14000	4.335644985
14050	4.334973048
14100	4.334311408
14150	4.333556011
14200	4.332762499
14250	4.332014692
14300	4.331381621
14350	4.330692231
14400	4.329993035
14450	4.329254096
14500	4.328625281
14550	4.327953955
14600	4.327203478
14650	4.326498122
14700	4.325753099
14750	4.32503539
14800	4.324396334
14850	4.323712372
14900	4.323133899
14950	4.322511557
15000	4.321878434
15050	4.32117374
15100	4.320472396
15150	4.319850276
15200	4.319230366
15250	4.318558274
15300	4.31789588
15350	4.31722357
15400	4.316597803
15450	4.315930498
15500	4.31533863
15550	4.314700072
15600	4.314115941
15650	4.31345886
15700	4.312861236
15750	4.312232719
15800	4.311470581
15850	4.310805918
15900	4.310222143
15950	4.309590838
16000	4.308964199
16050	4.308381062
16100	4.307792269
16150	4.307150016
16200	4.30661655
16250	4.305978433
16300	4.305399695
16350	4.304782942
16400	4.304219261
16450	4.303545681
16500	4.302950785
16550	4.302314421
16600	4.301722413
16650	4.30116284
16700	4.300511083
16750	4.299912356
16800	4.299369293
16850	4.298774198
16900	4.298279661
16950	4.297626294
17000	4.297078754
17050	4.296484587
17100	4.295891223
17150	4.295304728
17200	4.294686162
17250	4.294129451
17300	4.293547811
17350	4.292879924
17400	4.292388206
17450	4.291832804
17500	4.291252914
17550	4.290693578
17600	4.290141846
17650	4.289541615
17700	4.288976067
17750	4.28836347
17800	4.287780707
17850	4.287220286
17900	4.286692041
17950	4.286110507
18000	4.285561537
18050	4.284990498
18100	4.284471134
18150	4.283864344
18200	4.283304289
18250	4.282801601
18300	4.282270285
18350	4.281723068
18400	4.281116554
18450	4.280596486
18500	4.279997787
18550	4.279477644
18600	4.278926909
18650	4.278385896
18700	4.27782357
18750	4.277248456
18800	4.27665709
18850	4.276083466
18900	4.27555474
18950	4.275031464
19000	4.2745356
19050	4.273936622
19100	4.273426658
19150	4.272858393
19200	4.272259857
19250	4.271797456
19300	4.271315779
19350	4.27076339
19400	4.270222115
19450	4.269641703
19500	4.269148465
19550	4.268599902
19600	4.268004558
19650	4.26740361
19700	4.266882701
19750	4.266381137
19800	4.265792902
19850	4.265214038
19900	4.264665807
19950	4.264182314
20000	4.263719121
20050	4.263234453
20100	4.262678638
20150	4.262090395
20200	4.26157483
20250	4.261007775
20300	4.260508784
20350	4.259992158
20400	4.259435077
20450	4.258923556
20500	4.258459767
20550	4.257972403
20600	4.257445575
20650	4.256966438
20700	4.25645525
20750	4.256000785
20800	4.255496276
20850	4.254968364
20900	4.254464976
20950	4.253955596
21000	4.253467161
21050	4.252967779
21100	4.252494557
21150	4.25195058
21200	4.251482165
21250	4.250988572
21300	4.250488185
21350	4.249944172
21400	4.249494439
21450	4.249006551
21500	4.248553115
21550	4.24808071
21600	4.247620695
21650	4.247125449
21700	4.24665516
21750	4.24614413
21800	4.245662189
21850	4.245139191
21900	4.244659537
21950	4.244175922
22000	4.243734179
22050	4.243293043
22100	4.242754515
22150	4.242261602
22200	4.241789761
22250	4.241268261
22300	4.240814175
22350	4.240290908
22400	4.239798046
22450	4.239328741
22500	4.238856815
22550	4.238308397
22600	4.237819557
22650	4.237328974
22700	4.236888106
22750	4.236388206
22800	4.235937221
22850	4.235439281
22900	4.234953963
22950	4.234512615
23000	4.234042768
23050	4.233522333
23100	4.233097676
23150	4.232606974
23200	4.232154907
23250	4.23165535
23300	4.231190483
23350	4.230735472
23400	4.23023931
23450	4.229714579
23500	4.22923005
23550	4.228767431
23600	4.228310626
23650	4.227808066
23700	4.227358238
23750	4.226900569
23800	4.22641858
23850	4.225971361
23900	4.225534846
23950	4.225047551
24000	4.22463308
24050	4.224192609
24100	4.223734308
24150	4.223309168
24200	4.222861503
24250	4.222424781
24300	4.221999759
24350	4.221624671
24400	4.22114339
24450	4.220682426
24500	4.220238083
24550	4.219805943
24600	4.219293889
24650	4.218874405
24700	4.218413466
24750	4.217979494
24800	4.21756686
24850	4.217133924
24900	4.216710457
24950	4.216265651
25000	4.215848895
25050	4.215426785
25100	4.215002633
25150	4.214592636
25200	4.2141983
25250	4.213814928
25300	4.213404257
25350	4.212946798
25400	4.212474001
25450	4.212081711
25500	4.211636928
25550	4.211173447
25600	4.210750987
25650	4.210277445
25700	4.209853423
25750	4.209473218
25800	4.209021179
25850	4.20860227
25900	4.208175733
25950	4.207716345
26000	4.207263336
26050	4.20680438
26100	4.206356466
26150	4.205886302
26200	4.205420606
26250	4.204961323
26300	4.204534022
26350	4.204099312
26400	4.203629208
26450	4.203246819
26500	4.202879802
26550	4.202505154
26600	4.202064419
26650	4.201674975
26700	4.201239
26750	4.20080103
26800	4.200392794
26850	4.199993973
26900	4.199606817
26950	4.199174169
27000	4.19877987
27050	4.198413203
27100	4.198008534
27150	4.197598264
27200	4.197182526
27250	4.196784558
27300	4.196361521
27350	4.195942272
27400	4.195476595
27450	4.195098611
27500	4.194674964
27550	4.194202068
27600	4.193826638
27650	4.193446771
27700	4.192963694
27750	4.19254166
27800	4.1921186
27850	4.191680542
27900	4.191286684
27950	4.190922757
28000	4.19053199
28050	4.190164153
28100	4.189740897
28150	4.189339165
28200	4.188898162
28250	4.18851446
28300	4.188097291
28350	4.187680342
28400	4.187272567
28450	4.186839725
28500	4.186444843
28550	4.186051234
28600	4.1855942
28650	4.185197867
28700	4.184854672
28750	4.184413144
28800	4.184018183
28850	4.183633164
28900	4.183218119
28950	4.182831657
29000	4.182458181
29050	4.182029965
29100	4.181613679
29150	4.181224149
29200	4.180866232
29250	4.180421101
29300	4.18004812
29350	4.179663241
29400	4.179295707
29450	4.178889344
29500	4.178548324
29550	4.178154682
29600	4.177717389
29650	4.177313598
29700	4.176894266
29750	4.176535444
29800	4.176138194
29850	4.175750727
29900	4.175365276
29950	4.174970533
30000	4.174610657
30050	4.174228766
30100	4.173842788
30150	4.173444253
30200	4.173065513
30250	4.172676299
30300	4.172315026
30350	4.171918634
30400	4.171511043
30450	4.171118162
30500	4.170755885
30550	4.170394414
30600	4.169987517
30650	4.16959826
30700	4.169209816
30750	4.168804103
30800	4.168410569
30850	4.168056297
30900	4.167643617
30950	4.167268515
31000	4.166895636
31050	4.166572153
31100	4.166218703
31150	4.165844005
31200	4.16545722
31250	4.165063499
31300	4.164675692
31350	4.164306942
31400	4.163974093
31450	4.163592166
31500	4.163234191
31550	4.162832306
31600	4.16247666
31650	4.16210296
31700	4.161701932
31750	4.161390398
31800	4.161030523
31850	4.160711619
31900	4.160343929
31950	4.159959468
32000	4.159611338
32050	4.159221433
32100	4.158841972
32150	4.158445479
32200	4.158062563
32250	4.15767523
32300	4.157276206
32350	4.156942638
32400	4.156547678
32450	4.156193539
32500	4.155808788
32550	4.155425663
32600	4.155058624
32650	4.154674758
32700	4.154298894
32750	4.153943419
32800	4.153573667
32850	4.153216999
32900	4.152872607
32950	4.15248146
33000	4.152104036
33050	4.151749928
33100	4.151403073
33150	4.151024831
33200	4.150627886
33250	4.150299167
33300	4.149986914
33350	4.149648551
33400	4.149345978
33450	4.14899411
33500	4.148639801
33550	4.148278507
33600	4.147965018
33650	4.147603401
33700	4.147241307
33750	4.146860425
33800	4.146534322
33850	4.146179436
33900	4.145847477
33950	4.145535657
34000	4.145226373
34050	4.144836839
34100	4.14453552
34150	4.144178729
34200	4.143860071
34250	4.143563115
34300	4.143189857
34350	4.14289164
34400	4.142559493
34450	4.142205993
34500	4.141849861
34550	4.141517987
34600	4.141164104
34650	4.140846666
34700	4.14051404
34750	4.1401628
34800	4.139854967
34850	4.139507867
34900	4.139190167
34950	4.138871085
35000	4.138541159
35050	4.13820747
35100	4.137865637
35150	4.137511637
35200	4.13716471
35250	4.136843357
35300	4.13651785
35350	4.136171791
35400	4.135854516
35450	4.135517645
35500	4.135178609
35550	4.134855025
35600	4.134507432
35650	4.134207526
35700	4.13389619
35750	4.133522424
35800	4.133219082
35850	4.132867074
35900	4.132564872
35950	4.132255207
36000	4.13191092
36050	4.131572135
36100	4.131195652
36150	4.130865287
36200	4.130539117
36250	4.130196719
36300	4.129852039
36350	4.129491116
36400	4.129173361
36450	4.128810032
36500	4.128454986
36550	4.128130988
36600	4.12775429
36650	4.127398476
36700	4.127025728
36750	4.126710373
36800	4.12641053
36850	4.126057922
36900	4.125733841
36950	4.125433023
37000	4.125127707
37050	4.12481752
37100	4.124501411
37150	4.124250916
37200	4.123944648
37250	4.123628899
37300	4.12328862
37350	4.122974626
37400	4.122671004
37450	4.122356103
37500	4.12202872
37550	4.121683484
37600	4.121352529
37650	4.121070818
37700	4.120749922
37750	4.120412302
37800	4.120110101
37850	4.119801386
37900	4.119487718
37950	4.119179674
38000	4.118870509
38050	4.118563702
38100	4.118271826
38150	4.117932746
38200	4.117649492
38250	4.117306048
38300	4.116994274
38350	4.11666506
38400	4.116356591
38450	4.116040837
38500	4.115714926
38550	4.115371538
38600	4.115044898
38650	4.114730792
38700	4.114418143
38750	4.114090838
38800	4.113768816
38850	4.113469382
38900	4.113176432
38950	4.112874329
39000	4.112581499
39050	4.112267849
39100	4.111937467
39150	4.111626512
39200	4.111322666
39250	4.111001072
39300	4.110657571
39350	4.110360369
39400	4.110065574
39450	4.10978508
39500	4.109445553
39550	4.109135875
39600	4.108817994
39650	4.108492151
39700	4.1081953
39750	4.107843081
39800	4.107535008
39850	4.107206772
39900	4.106861264
39950	4.106513687
40000	4.106213031
40050	4.105884505
40100	4.105576588
40150	4.105273729
40200	4.104977736
40250	4.104696101
40300	4.104364278
40350	4.104057258
40400	4.103760173
40450	4.103448057
40500	4.103133642
40550	4.102758648
40600	4.102436828
40650	4.102137172
40700	4.101875588
40750	4.101561146
40800	4.101269412
40850	4.100959839
40900	4.100657163
40950	4.100366861
41000	4.100072077
41050	4.099774165
41100	4.099435489
41150	4.099067843
41200	4.09874029
41250	4.098443853
41300	4.098146421
41350	4.097846167
41400	4.097531962
41450	4.097224064
41500	4.096949089
41550	4.096636934
41600	4.096399345
41650	4.096101141
41700	4.095805792
41750	4.095517557
41800	4.095213597
41850	4.09490716
41900	4.09460216
41950	4.094340225
42000	4.09405284
42050	4.093746374
42100	4.093469971
42150	4.093165056
42200	4.092869573
42250	4.092552513
42300	4.092311154
42350	4.092038151
42400	4.091769143
42450	4.091459768
42500	4.09116089
42550	4.090888093
42600	4.090569309
42650	4.090264278
42700	4.089981842
42750	4.089693099
42800	4.089380698
42850	4.089115438
42900	4.08883821
42950	4.088554136
43000	4.088293144
43050	4.087995562
43100	4.087697474
43150	4.08743847
43200	4.087165358
43250	4.086829353
43300	4.08653826
43350	4.086270317
43400	4.085981206
43450	4.085697255
43500	4.085423576
43550	4.085112373
43600	4.084803978
43650	4.084550722
43700	4.08428743
43750	4.083984464
43800	4.083685674
43850	4.083385419
43900	4.083099196
43950	4.082802114
44000	4.082483625
44050	4.082178776
44100	4.081904956
44150	4.081639344
44200	4.081385676
44250	4.081119616
44300	4.080815987
44350	4.080525469
44400	4.080211813
44450	4.07991829
44500	4.079641186
44550	4.079347181
44600	4.079074125
44650	4.078786028
44700	4.078510142
44750	4.078234426
44800	4.077942333
44850	4.077650293
44900	4.077343995
44950	4.077061331
45000	4.076783788
45050	4.076504418
45100	4.076194126
45150	4.075931077
45200	4.075671831
45250	4.07535032
45300	4.075064979
45350	4.07476408
45400	4.074522196
45450	4.074241057
45500	4.073958313
45550	4.073686538
45600	4.073434165
45650	4.073165441
45700	4.072876171
45750	4.072578439
45800	4.072273895
45850	4.072007116
45900	4.071701258
45950	4.071408302
46000	4.071176789
46050	4.070882534
46100	4.070618672
46150	4.070343831
46200	4.07006607
46250	4.069806379
46300	4.06952036
46350	4.069277976
46400	4.069012066
46450	4.068694958
46500	4.068415223
46550	4.068159686
46600	4.067881836
46650	4.067603895
46700	4.067326628
46750	4.06708113
46800	4.06680691
46850	4.06651707
46900	4.066261125
46950	4.065968269
47000	4.065691158
47050	4.065366909
47100	4.065094507
47150	4.064794577
47200	4.064488987
47250	4.064207436
47300	4.063947299
47350	4.063661036
47400	4.063382085
47450	4.063102816
47500	4.06281483
47550	4.062518664
47600	4.062267623
47650	4.062009039
47700	4.061748455
47750	4.061499379
47800	4.061237963
47850	4.060974881
47900	4.060727237
47950	4.060434025
48000	4.060154689
48050	4.059889859
48100	4.059599446
48150	4.059333785
48200	4.059069925
48250	4.058780525
48300	4.058499778
48350	4.058242406
48400	4.058001926
48450	4.057715305
48500	4.057456485
48550	4.057195272
48600	4.056890608
48650	4.056610782
48700	4.05634486
48750	4.056088759
48800	4.055830384
48850	4.055564509
48900	4.05531767
48950	4.055034083
49000	4.054762972
49050	4.054488398
49100	4.054221329
49150	4.053919969
49200	4.053662768
49250	4.053407423
49300	4.053137426
49350	4.052876895
49400	4.052615408
49450	4.052323878
49500	4.052059765
49550	4.051806947
49600	4.051526388
49650	4.051282484
49700	4.051010432
49750	4.050770809
49800	4.05052745
49850	4.050246327
49900	4.049982996
49950	4.049731024
49999	4.049430926
